id_nestbox;site;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success;success_manipulated;father_id;mother_id;id_bird;id_ring;species;sex;age;adult_mass;adult_tarsus_l;adult_wing_l;adult_aggress;nestling_mass;nestling_tarsus_l;nestling_wing_l
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;0;NA;NA;COABICC0033;8790748;CC;unknown;nestling;NA;NA;NA;NA;8,00;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;0;NA;NA;COABICC0034;8790749;CC;unknown;nestling;NA;NA;NA;NA;7,72;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;0;NA;NA;COABICC0035;8790750;CC;unknown;nestling;NA;NA;NA;NA;5,22;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;0;NA;NA;COABICC0036;8790751;CC;unknown;nestling;NA;NA;NA;NA;5,65;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;0;NA;NA;COABICC0037;8790752;CC;unknown;nestling;NA;NA;NA;NA;7,05;NA;NA
DIJ-002;drapeau;2020;15/05/2020;10/04/2020;NA;02/05/2020;11;10;0;0;0;NA;NA;DIJ-002-2020;NA;CC;unknown;nestling;NA;NA;NA;NA;NA;NA;NA
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0866;NA;CC;unknown;nestling;NA;NA;NA;NA;7,05;14,70;24,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0867;NA;CC;unknown;nestling;NA;NA;NA;NA;8,33;14,99;27,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0868;NA;CC;unknown;nestling;NA;NA;NA;NA;6,21;14,14;24,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0869;NA;CC;unknown;nestling;NA;NA;NA;NA;8,95;15,08;28,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0870;NA;CC;unknown;nestling;NA;NA;NA;NA;9,32;15,51;30,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;0;NA;NA;THPAGCC0871;NA;CC;unknown;nestling;NA;NA;NA;NA;6,66;14,44;24,00
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;0;NA;NA;VIGARCC0064;1246BFC;CC;unknown;nestling;NA;NA;NA;NA;7,87;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;0;NA;NA;CLPECCC0055;1239BFC;CC;unknown;nestling;NA;NA;NA;NA;7,71;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;0;NA;NA;VIGARCC0065;1237BFC;CC;unknown;nestling;NA;NA;NA;NA;7,26;NA;NA
DIJ-004;drapeau;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;1;0;NA;NA;CLPECCC0056;1232BFC;CC;unknown;nestling;NA;NA;NA;NA;8,39;NA;NA
DIJ-004;drapeau;2020;04/05/2020;03/04/2020;NA;NA;7;6;6;1;0;NA;8791875;BRFAIPM0622;8791875;PM;female;more_than_one;16,35;18,48;69,00;NA;NA;NA;NA
DIJ-004;drapeau;2020;05/05/2020;03/04/2020;NA;NA;7;6;6;1;0;NA;8791875;BRFAIPM0623;8791874;PM;unknown;nestling;NA;NA;NA;NA;16,44;19,29;NA
DIJ-004;drapeau;2020;05/05/2020;03/04/2020;NA;NA;7;6;6;1;0;NA;8791875;BRFAIPM0624;8791876;PM;unknown;nestling;NA;NA;NA;NA;18,21;19,08;NA
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0900;V010500;PM;unknown;nestling;NA;NA;NA;NA;13,58;19,22;40,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0901;V010401;PM;unknown;nestling;NA;NA;NA;NA;17,83;20,48;41,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0902;V010402;PM;unknown;nestling;NA;NA;NA;NA;15,97;19,10;39,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0903;8876548;PM;male;more_than_two;17,05;20,19;74,00;2,0;NA;NA;NA
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0904;V010403;PM;unknown;nestling;NA;NA;NA;NA;16,84;20,31;43,00
DIJ-005;drapeau;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;1;0;8876548;NA;CESINPM0905;V010404;PM;unknown;nestling;NA;NA;NA;NA;16,04;19,46;41,00
DIJ-005;drapeau;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;1;8876548;NA;THPAGPM1321;8876548;PM;male;more_than_two;17,25;20,88;77,00;0,0;NA;NA;NA
DIJ-005;drapeau;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;1;8876548;NA;THPAGPM1322;V022204;PM;unknown;nestling;NA;NA;NA;NA;17,52;20,07;45,00
DIJ-005;drapeau;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;1;8876548;NA;THPAGPM1323;V022205;PM;unknown;nestling;NA;NA;NA;NA;17,71;20,86;49,00
DIJ-005;drapeau;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;1;8876548;NA;THPAHPM1324;V022206;PM;unknown;nestling;NA;NA;NA;NA;16,00;18,88;39,00
DIJ-005;drapeau;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;1;8876548;NA;THPAGPM1325;V022207;PM;unknown;nestling;NA;NA;NA;NA;17,43;20,04;48,50
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;CLPECPM0057;1238BFC;PM;unknown;nestling;NA;NA;NA;NA;17,16;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;VIGARPM0066;1233BFC;PM;unknown;nestling;NA;NA;NA;NA;15,52;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;CLPECPM0058;1231BFC;PM;unknown;nestling;NA;NA;NA;NA;14,52;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;VIGARPM0067;1235BFC;PM;unknown;nestling;NA;NA;NA;NA;12,54;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;CLPECPM0059;1234BFC;PM;unknown;nestling;NA;NA;NA;NA;17,05;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;VIGARPM0068;1236BFC;PM;unknown;nestling;NA;NA;NA;NA;14,22;NA;NA
DIJ-006;drapeau;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;1;0;NA;NA;CLPECPM0060;1240BFC;PM;unknown;nestling;NA;NA;NA;NA;15,78;NA;NA
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0186;8791992;PM;male;more_than_two;17,16;19,95;76,00;2,0;NA;NA;NA
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0187;V011266;PM;unknown;nestling;NA;NA;NA;NA;15,54;19,04;40,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0188;V011267;PM;unknown;nestling;NA;NA;NA;NA;14,89;19,03;41,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0189;V011268;PM;unknown;nestling;NA;NA;NA;NA;13,50;19,60;43,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0190;V011269;PM;unknown;nestling;NA;NA;NA;NA;14,38;19,79;46,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0191;V011270;PM;unknown;nestling;NA;NA;NA;NA;15,64;19,62;44,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0192;V011271;PM;unknown;nestling;NA;NA;NA;NA;15,67;19,86;43,00
DIJ-008;drapeau;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;1;0;8791992;NA;CESINPM0193;V011272;PM;unknown;nestling;NA;NA;NA;NA;15,10;20,85;43,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0981;8876570;PM;female;two;15,49;19,89;69,00;NA;NA;NA;NA
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0978;V010431;PM;unknown;nestling;NA;NA;NA;NA;15,32;20,51;40,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0979;V010432;PM;unknown;nestling;NA;NA;NA;NA;14,60;20,11;44,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0980;V010433;PM;unknown;nestling;NA;NA;NA;NA;15,44;20,25;42,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0982;V010434;PM;unknown;nestling;NA;NA;NA;NA;14,93;19,83;42,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0983;V010435;PM;unknown;nestling;NA;NA;NA;NA;13,27;19,46;41,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0984;V010436;PM;unknown;nestling;NA;NA;NA;NA;15,21;19,70;37,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0985;V010437;PM;unknown;nestling;NA;NA;NA;NA;16,71;21,24;45,00
DIJ-008;drapeau;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;1;0;NA;8876570;CESINPM0986;V010438;PM;unknown;nestling;NA;NA;NA;NA;16,04;20,44;42,00
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0069;1218BFC;PM;unknown;nestling;NA;NA;NA;NA;12,25;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0061;1217BFC;PM;unknown;nestling;NA;NA;NA;NA;15,31;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0070;1214BFC;PM;unknown;nestling;NA;NA;NA;NA;11,80;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0062;1216BFC;PM;unknown;nestling;NA;NA;NA;NA;16,80;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0071;1213BFC;PM;unknown;nestling;NA;NA;NA;NA;11,83;NA;NA
DIJ-009;drapeau;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0063;1215BFC;PM;unknown;nestling;NA;NA;NA;NA;15,55;NA;NA
DIJ-009;drapeau;2020;07/05/2020;08/04/2020;NA;NA;6;6;6;1;0;8791992;NA;BRFAIPM0684;8791992;PM;male;more_than_one;17,04;19,87;71,00;NA;NA;NA;NA
DIJ-009;drapeau;2020;10/05/2020;08/04/2020;NA;NA;6;6;6;1;0;8791992;NA;LAPOLPM0045;8791983;PM;unknown;nestling;NA;NA;NA;NA;15,91;18,30;NA
DIJ-009;drapeau;2020;10/05/2020;08/04/2020;NA;NA;6;6;6;1;0;8791992;NA;LAPOLPM0046;8791982;PM;unknown;nestling;NA;NA;NA;NA;11,82;17,94;NA
DIJ-009;drapeau;2022;22/05/2022;15/04/2022;24/04/2022;09/05/2022;11;11;NA;NA;0;NA;NA;DIJ-009-2022;NA;CC;unknown;nestling;NA;NA;NA;NA;NA;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;VIGARPM0031;8382411;PM;unknown;nestling;NA;NA;NA;NA;12,71;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;CLPECPM0020;8382412;PM;unknown;nestling;NA;NA;NA;NA;14,01;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;VIGARPM0032;8382413;PM;unknown;nestling;NA;NA;NA;NA;13,62;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;CLPECPM0021;8382414;PM;unknown;nestling;NA;NA;NA;NA;14,78;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;CLPECPM0022;8382415;PM;unknown;nestling;NA;NA;NA;NA;12,06;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;VIGARPM0033;8382416;PM;unknown;nestling;NA;NA;NA;NA;12,37;NA;NA
DIJ-010;pascal_joffre;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;1;0;NA;NA;VIGARPM0034;8382417;PM;unknown;nestling;NA;NA;NA;NA;13,29;NA;NA
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1186;8876591;PM;female;two;17,04;19,04;69,50;0,0;NA;NA;NA
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1185;V010394;PM;unknown;nestling;NA;NA;NA;NA;15,82;19,58;45,00
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1187;V010395;PM;unknown;nestling;NA;NA;NA;NA;17,28;19,55;45,50
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1188;V010396;PM;unknown;nestling;NA;NA;NA;NA;14,96;19,28;44,50
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1189;V010397;PM;unknown;nestling;NA;NA;NA;NA;17,74;20,48;45,00
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1190;V010398;PM;unknown;nestling;NA;NA;NA;NA;15,14;18,84;41,00
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1191;V010399;PM;unknown;nestling;NA;NA;NA;NA;15,82;18,79;45,00
DIJ-010;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;1;0;NA;8876591;CESINPM1192;V010400;PM;unknown;nestling;NA;NA;NA;NA;15,62;18,86;46,00
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;0;NA;NA;VIGARPM0194;8790820;PM;unknown;nestling;NA;NA;NA;NA;14,79;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;0;NA;NA;VIGARPM0195;8790821;PM;unknown;nestling;NA;NA;NA;NA;14,46;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;0;NA;NA;CLPECPM0209;8790822;PM;unknown;nestling;NA;NA;NA;NA;17,62;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;0;NA;NA;VIGARPM0196;8790823;PM;unknown;nestling;NA;NA;NA;NA;18,08;NA;NA
DIJ-011;pascal_joffre;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;1;0;NA;NA;VIGARPM0197;8790824;PM;unknown;nestling;NA;NA;NA;NA;15,06;NA;NA
DIJ-011;pascal_joffre;2020;29/04/2020;29/03/2020;NA;NA;8;7;4;1;0;8791857;NA;BRFAIPM0527;8791857;PM;male;more_than_one;18,25;20,14;77,00;NA;NA;NA;NA
DIJ-011;pascal_joffre;2020;03/05/2020;29/03/2020;NA;NA;8;7;4;1;0;8791857;NA;BRFAIPM0620;8791873;PM;unknown;nestling;NA;NA;NA;NA;18,16;20,96;NA
DIJ-011;pascal_joffre;2020;03/05/2020;29/03/2020;NA;NA;8;7;4;1;0;8791857;NA;BRFAIPM0621;8791872;PM;unknown;nestling;NA;NA;NA;NA;17,18;19,72;NA
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;0;NA;8791927;CESINPM0001;8791927;PM;female;two;18,53;19,95;71,00;3,0;NA;NA;NA
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;0;NA;8791927;CESINPM0002;V011109;PM;unknown;nestling;NA;NA;NA;NA;16,96;20,01;38,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;0;NA;8791927;CESINPM0003;V011110;PM;unknown;nestling;NA;NA;NA;NA;16,10;20,78;39,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;0;NA;8791927;CESINPM0004;V011111;PM;unknown;nestling;NA;NA;NA;NA;11,48;18,43;29,00
DIJ-011;pascal_joffre;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;1;0;NA;8791927;CESINPM0005;V011112;PM;unknown;nestling;NA;NA;NA;NA;8,07;18,72;32,00
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;0;NA;8876506;CESINPM0116;8876506;PM;female;more_than_two;15,41;18,21;71,00;1,5;NA;NA;NA
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;0;NA;8876506;CESINPM0117;V011213;PM;unknown;nestling;NA;NA;NA;NA;17,24;19,35;48,00
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;0;NA;8876506;CESINPM0118;V011214;PM;unknown;nestling;NA;NA;NA;NA;17,09;19,24;45,50
DIJ-012B;pascal_joffre;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;1;0;NA;8876506;CESINPM0119;V011215;PM;unknown;nestling;NA;NA;NA;NA;18,06;19,71;45,00
DIJ-012B;pascal_joffre;2022;02/05/2022;27/03/2022;06/04/2022;19/04/2022;12;NA;NA;NA;0;NA;NA;DIJ-012-2022;NA;CC;unknown;nestling;NA;NA;NA;NA;NA;NA;NA
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0818;V010351;CC;unknown;nestling;NA;NA;NA;NA;7,83;15,21;29,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0819;V010352;CC;unknown;nestling;NA;NA;NA;NA;6,84;15,64;29,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0820;V010353;CC;unknown;nestling;NA;NA;NA;NA;8,68;15,90;33,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0821;V010354;CC;unknown;nestling;NA;NA;NA;NA;7,80;15,38;32,00
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0822;V010355;CC;unknown;nestling;NA;NA;NA;NA;9,20;15,97;34,50
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0823;V010356;CC;unknown;nestling;NA;NA;NA;NA;5,41;14,28;25,50
DIJ-013;pascal_joffre;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;1;0;NA;NA;THPAGCC0824;V010357;CC;unknown;nestling;NA;NA;NA;NA;9,02;15,83;36,50
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0064;1220BFC;PM;unknown;nestling;NA;NA;NA;NA;15,09;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0072;1219BFC;PM;unknown;nestling;NA;NA;NA;NA;15,19;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0065;1212BFC;PM;unknown;nestling;NA;NA;NA;NA;13,92;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0073;1221BFC;PM;unknown;nestling;NA;NA;NA;NA;16,05;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;CLPECPM0066;1228BFC;PM;unknown;nestling;NA;NA;NA;NA;17,23;NA;NA
DIJ-015;pascal_joffre;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;1;0;NA;NA;VIGARPM0074;1223BFC;PM;unknown;nestling;NA;NA;NA;NA;13,66;NA;NA
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1181;8876590;PM;female;more_than_two;17,15;19,37;76,00;1,5;NA;NA;NA
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1180;V022389;PM;unknown;nestling;NA;NA;NA;NA;14,69;18,82;45,50
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1935;V022390;PM;unknown;nestling;NA;NA;NA;NA;17,37;19,37;46,00
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1182;V022391;PM;unknown;nestling;NA;NA;NA;NA;16,11;19,63;48,00
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1183;V022392;PM;unknown;nestling;NA;NA;NA;NA;15,10;19,04;47,00
DIJ-015;pascal_joffre;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;1;0;NA;8876590;CESINPM1184;V022393;PM;unknown;nestling;NA;NA;NA;NA;15,57;19,23;46,50
DIJ-016;chevreul;2019;10/05/2019;04/04/2019;13/04/2019;27/04/2019;11;10;0;0;0;NA;NA;DIJ-016-2019;NA;CC;unknown;nestling;NA;NA;NA;NA;NA;NA;NA
DIJ-016;chevreul;2021;13/05/2021;05/04/2021;15/04/2021;30/04/2021;12;10;2;1;0;NA;NA;THPAGCC0708;V010253;CC;unknown;nestling;NA;NA;NA;NA;5,75;12,10;18,00
DIJ-016;chevreul;2021;13/05/2021;05/04/2021;15/04/2021;30/04/2021;12;10;2;1;0;NA;NA;THPAGCC0709;V010254;CC;unknown;nestling;NA;NA;NA;NA;6,32;11,92;17,00
DIJ-017;chevreul;2019;01/05/2019;27/03/2019;01/04/2019;14/04/2019;8;6;0;0;0;NA;NA;DIJ-017-2019;NA;PM;unknown;nestling;NA;NA;NA;NA;NA;NA;NA
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;0;8876505;7581728;CESINPM0112;8876505;PM;male;more_than_two;16,95;20,09;76,00;2,0;NA;NA;NA
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;0;8876505;7581728;CESINPM0113;V011211;PM;unknown;nestling;NA;NA;NA;NA;17,16;19,63;48,00
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;0;8876505;7581728;CESINPM0114;V011212;PM;unknown;nestling;NA;NA;NA;NA;16,60;18,13;46,00
DIJ-017;chevreul;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;1;0;8876505;7581728;CESINPM0115;7581728;PM;female;more_than_two;18,83;18,79;73,50;2,5;NA;NA;NA
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0977;8877090;PM;male;two;16,97;19,34;75,50;2,0;NA;NA;NA
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0982;8877091;PM;female;two;17,36;19,52;75,00;3,0;NA;NA;NA
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0978;V022042;PM;unknown;nestling;NA;NA;NA;NA;11,80;18,03;38,50
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0979;V022043;PM;unknown;nestling;NA;NA;NA;NA;15,64;19,18;44,00
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0980;V022044;PM;unknown;nestling;NA;NA;NA;NA;13,80;18,03;41,00
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0981;V022045;PM;unknown;nestling;NA;NA;NA;NA;14,15;19,10;42,00
DIJ-017;chevreul;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;1;0;8877090;8877091;THPAGPM0983;V022046;PM;unknown;nestling;NA;NA;NA;NA;13,30;18,38;33,50
